school,url
abt,"https://www.abt.org/training/dancer-training/summer-programs/audition-info/"
bba,"https://www.bolshoiballetacademy.com/auditions"
bos,"https://www.bostonballet.org/Home/Education/Resources/For-Parents-Students/Summer-Dance-Program-Auditions"
harid,"http://harid.edu/auditions/"
hba,"https://www.houstonballet.org/about/academy1/summer-intensive-program/sip-audition-tour2/"
kab,"https://kirovacademydc.org/programs/summer-intensive/audition-tour-2019/"
pnb,"https://www.pnb.org/pnb-school/classes/summer-course/"
rock,"https://www.therockschool.org/summer-audition-tour"
sab,"https://www.sab.org/summer_programs/us_auditions/national_audition_tour.php"
sfb,"https://www.sfballet.org/school-education/summer/summer-session/auditions/national-audition-tour/"
